tld,url,2008,2016,2020,depth,fromedgi
epa.gov,http://www.epa.gov:80/ttn/atw/3_90_022.html,20080921083617,20160604131704,20201018133337,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/index.html,20080724040228,20160126164705,20201018095426,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/mactfnlalph.html,20080724035429,20160126164645,20200404020841,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/natamain/,20080726015252,20160117052439,20200330234638,deep,FALSE
epa.gov,http://www.epa.gov/ttn/atw/natamain/index.html,20081024061701,20160419062722,20201018001807,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/nsps/socww/socwwpg.html,20080726163956,20160401024545,20201024082655,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/orig189.html,20080726164052,20160126164702,20200616120114,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/188polls.html,20080726015806,20160114050409,20200125013538,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/pollsour.html,20081020161117,20160203075444,20201018062444,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/pollutants/atwsmod.html,20081008160402,20160415094651,20201018162145,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/publicat.html,20081020160923,20160317044737,20201018215731,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/riskinit.html,20081020160131,20160317040558,20201018152254,high,FALSE
epa.gov,http://www.epa.gov/ttn/atw/rrisk/rtrpg.html,20080726163708,20160418134623,20201018055631,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/stprogs.html,20080904214059,20160317021733,20201018055506,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/techres.html,20080724041356,20160317020123,20201019060531,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/utility/utiltoxpg.html,20081012105924,20160514200650,20201023153516,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/catc/cica,20081026064517,20160109220022,20200812212408,high,FALSE
epa.gov,http://www.epa.gov/ttn/catc/cica/atech_e.html,20081029012519,20160104003922,20201019220239,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/catc/cica/contacte.html,20081029211514,20160201025918,20201020013655,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/catc/cica/index.html,20081029012759,20160109220028,20201019082610,deep,FALSE
epa.gov,http://www.epa.gov/ttn/catc/index.html,20081029033745,20160109014430,20201018041452,high,FALSE
epa.gov,http://www.epa.gov/ttn/catc/rblc/htm/rblcprod_eg.html,20080724041532,20161231165509,20201018050132,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief,20080724041131,20160126164704,20200408020514,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/ap42/ch13,20081108062354,20160513040925,20201017143544,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/ap42/ch13/index.html,20080821212940,20160316010015,20200828012823,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/ap42/index.html,20080102181226,20160127110950,20200726202747,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/comments.html,20080726021703,20160813090431,20200811135555,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/conferences.html,20081024054810,20160813090434,20200811125456,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/database/search.html,20080726021151,20160110085802,20201019225356,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/eiinformation.html,20080726170604,20160314213214,20200408020733,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/index.html,20081024054325,20160126040211,20200804174306,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/le/index.html,20080726020806,20160516171312,20201129174910,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/net/index.html,20080726170308,20160813090433,20201019210654,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/software/tanks/index.html,20080102181122,20160127110953,20201020163556,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/trends/index.html,20080724041147,20160417064435,20201020051510,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/emc,20081021014303,20160214060534,20200810082150,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/emc/ftir/epaadata.html,20081204140114,20160322113549,20200804003702,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/emc/ftir/showspc.html,20081011071158,20160627013811,20201223152713,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/emc/ftir/welcome.html,20080726012901,20160322091800,20201106232810,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/gei,20081204150322,20160312141746,20201022170444,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/index.html,20081011084425,20160317082028,20201018050136,high,FALSE
epa.gov,http://www.epa.gov/ttn/naaqs/standards/co/s_co_pr.html,20080821215243,20161123204439,20201001131625,deep,FALSE
epa.gov,http://epa.gov/ttn/naaqs/standards/no2so2sec/cr_isi.html,20081004094643,20160513044412,20200922132416,deep,FALSE
epa.gov,http://epa.gov/ttn/naaqs/standards/no2so2sec/cr_pa.html,20081004094704,20160513044505,20201020053923,deep,FALSE
epa.gov,http://epa.gov/ttn/naaqs/standards/no2so2sec/cr_rea.html,20081004094809,20160228025620,20200919025944,deep,FALSE
epa.gov,http://epa.gov/ttn/naaqs/standards/nox/s_nox_cr_isi.html,20081004094309,20160513044422,20200924174844,deep,FALSE
epa.gov,http://epa.gov/ttn/naaqs/standards/nox/s_nox_cr_pd.html,20081004094351,20160513044752,20201024090602,deep,FALSE
epa.gov,http://www.epa.gov/ttn/naaqs/standards/nox/s_nox_cr_rea.html,20080726180354,20160513044815,20200919061132,deep,FALSE
epa.gov,http://epa.gov/ttn/naaqs/standards/nox/s_nox_pr.html,20081004094619,20161206060811,20200810125022,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/naaqs/standards/ozone/s_o3_cr_cd.html,20080726012957,20160513044846,20200922220440,deep,FALSE
epa.gov,http://www.epa.gov/ttn/naaqs/standards/ozone/s_o3_cr.html,20081204172754,20161206061229,20200922145712,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/naaqs/standards/ozone/s_o3_cr_sp.html,20080724011059,20160513035100,20200919063036,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/naaqs/standards/ozone/s_o3_cr_td.html,20080820222321,20160513040655,20201025211032,deep,FALSE
epa.gov,http://epa.gov/ttn/naaqs/standards/ozone/s_o3_1997.html,20081004095413,20161206061216,20201029045257,deep,FALSE
epa.gov,http://www.epa.gov/ttn/naaqs/standards/ozone/s_o3_pr.html,20081204163226,20161206061845,20201029170917,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/naaqs/standards/pb/s_pb_cr_cd.html,20081004094936,20160513044339,20200919065312,deep,FALSE
epa.gov,http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_cr_pd.html,20081004095132,20160513041407,20200922221156,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/naaqs/standards/pb/s_pb_cr_sp.html,20081004094944,20160809203005,20200305041412,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/naaqs/standards/pm/s_pm_cr_cd.html,20081204165649,20160513041930,20200922203235,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/naaqs/standards/pm/s_pm_cr_sp.html,20081204171105,20160222084642,20200924175416,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/naaqs/standards/pm/s_pm_cr_td.html,20080916213748,20160221005344,20201029165413,deep,FALSE
epa.gov,http://epa.gov/ttn/naaqs/standards/so2/s_so2_cr_isa.html,20081004094121,20160513044433,20200922220910,deep,FALSE
epa.gov,http://epa.gov/ttn/naaqs/standards/so2/s_so2_cr_pd.html,20081004094045,20160513044857,20200922144033,deep,FALSE
epa.gov,http://epa.gov/ttn/naaqs/standards/so2/s_so2_pr.html,20081004094004,20161206061912,20200926095452,deep,FALSE
epa.gov,http://www.epa.gov/watersense/,20080406062550,20160102004051,20200103195635,high,TRUE
epa.gov,http://www.epa.gov/watershedacademy/,20080726172459,20160306161431,20200101021925,high,TRUE
blm.gov,http://fire.ak.blm.gov:80/,20080104184801,20160121184801,20200221190957,high,FALSE
nasa.gov,http://gcmd.gsfc.nasa.gov:80/,20080110213649,20160103085206,20200116164436,high,TRUE
nasa.gov,http://geo.arc.nasa.gov:80/sgg/tarfox/,20080108213457,20160111160425,20200103184550,high,FALSE
usgs.gov,http://geochange.er.usgs.gov:80/,20080110045308,20160131104336,20200313000007,high,FALSE
usgs.gov,http://geo-nsdi.er.usgs.gov:80/,20080514140549,20160309231008,20200106020940,high,FALSE
usgs.gov,http://glovis.usgs.gov:80/,20080106135856,20160112074921,20200108204106,high,FALSE
noaa.gov,http://hmt.noaa.gov:80/,20080123113922,20160113134417,20200205060034,high,TRUE
nasa.gov,http://hyspiri.jpl.nasa.gov:80/,20081002073112,20160215010215,20200101160250,high,TRUE
noaa.gov,http://icoads.noaa.gov:80/index.shtml,20080131080016,20160119123120,20200405151836,high,TRUE
noaa.gov,http://icoads.noaa.gov:80/products.html,20080124135243,20160123201009,20200228200858,high,TRUE
nasa.gov,http://isccp.giss.nasa.gov:80/,20080112084200,20160131043510,20200303022946,high,FALSE
nasa.gov,http://isccp.giss.nasa.gov:80/docs/documents.html,20080113035323,20160322020133,20201020075852,high,FALSE
nasa.gov,http://isccp.giss.nasa.gov:80/errors.html,20080225072009,20160124035109,20201018202111,high,FALSE
nasa.gov,http://isccp.giss.nasa.gov/faq.html,20080201005143,20161007070103,20201019212508,high,FALSE
nasa.gov,http://isccp.giss.nasa.gov:80/newalg.html,20080307043146,20160322020059,20201020014014,high,FALSE
nasa.gov,http://isccp.giss.nasa.gov:80/products/products.html,20080128145138,20160112105002,20201017145806,high,FALSE
usgs.gov,http://isis.astrogeology.usgs.gov:80/,20080110045500,20160124053847,20200224155443,high,FALSE
doi.gov,http://library.doi.gov:80/,20080509154314,20161115010632,20201005223819,high,FALSE
nih.gov,http://library.niehs.nih.gov:80/,20080517125604,20160131232809,20201006000609,high,FALSE
nasa.gov,http://modis.gsfc.nasa.gov:80/data/dataprod/index.php,20080104113312,20160121035709,20200403013650,high,FALSE
usgs.gov,http://mrdata.usgs.gov:80/,20080112032123,20160205041950,20200103055638,high,FALSE
usgs.gov,http://nas.er.usgs.gov:80/,20080123202234,20160127234236,20200308024538,high,FALSE
noaa.gov,http://nctr.pmel.noaa.gov/Dart/index.html,20080206204104,20160102215403,20201028235149,high,TRUE
noaa.gov,http://nctr.pmel.noaa.gov/database_devel.html,20080206181327,20160119134414,20200102232833,high,TRUE
noaa.gov,http://noaasis.noaa.gov:80/cemscs/goeswkly.txt,20080228181901,20160303225807,20200107190013,high,TRUE
noaa.gov,http://noaasis.noaa.gov:80/NOAASIS/,20080207152416,20160119202451,20200312235440,high,TRUE
noaa.gov,http://nomads.gfdl.noaa.gov:80/CM2.X/,20080514085028,20160303174146,20200730071748,high,TRUE
noaa.gov,http://nomads.gfdl.noaa.gov:80/CM2.X/CM2.1/available_data.html,20080706052816,20160307022740,20200812001911,high,TRUE
noaa.gov,http://nomads.gfdl.noaa.gov/CM2.X/considerations.html,20080706052728,20160306213026,20200921035934,high,TRUE
noaa.gov,http://nomads.ncdc.noaa.gov:80/EnsProb/,20080913154439,20160107183545,20200101091440,high,TRUE
noaa.gov,http://oceanexplorer.noaa.gov:80/,20080112042026,20160106164614,20200106011551,high,TRUE
noaa.gov,http://osmc.noaa.gov/Monitor/OSMC/OSMC.html,20080512085138,20160125103655,20200122193556,high,TRUE
